pOrder,rt_1,rt_2,trial_type,trial_num,digits,response,accuracy,rt,digit_count,max_digit,max_before_error
1,1.1245143413543701,1.0342307090759277,instruction,,,,,,,4,4
1,,,practice,1,2 1 5,2 1 5,1,1.5999550819396973,3,,
1,,,practice,2,7 5 2 0,8 0,0,0.824704647064209,4,,
1,,,practice,3,5 8 2 9,0 8,0,0.7341220378875732,4,,
1,,,task,1,1 5 7,1 5 7,1,1.7575252056121826,3,,
1,,,task,2,9 3 5 8,9 3 5 8,1,2.1533408164978027,4,,
1,,,task,3,3 2 4 5 6,0 0,0,5.50093674659729,5,,
1,,,task,4,0 9 8 6 2,0 0,0,0.8556017875671387,5,,
1,,,task,5,4 3 7 2,0 0,0,1.1298890113830566,4,,
1,,,task,6,3 8 5 1,0 0,0,1.696439504623413,4,,
1,,,task,7,8 0 2,8 0 2,1,2.135432243347168,3,,
