stimulus,choices,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro.started,Intro.stopped,introNext.keys,introNext.rt,introNext.started,introNext.stopped,begin.started,begin.stopped,Stimuli.started,Stimuli.stopped,trial.time,trial.correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,endText.started,endText.stopped,space_end.keys,space_end.rt,rpm_raw,rpm_err,rpm_adj,rpm_rt,pOrder,date,expName,psychopyVersion,frameRate,
,,,,,,,10.682434000000285,None,space,1.645632900000237,11.51428390000001,None,,,,,,,,,,,,,,,,,,,,,1,2025_May_05_1822,ravensMatricesBuilder,2021.2.3,162.1962672160949,
stimuli/b10.png,"choices/b10_1.png,choices/b10_2.png,choices/b10_3.png,choices/b10_4.png,choices/b10_5.png,choices/b10_6.png",2,0,0,0,0,,,,,,,13.184473799999978,None,16.34203030000026,None,1.829987600000095,0,0.33055556,-0.14166667,1,0,0,choice_5,,,,,,,,,1,2025_May_05_1822,ravensMatricesBuilder,2021.2.3,162.1962672160949,
stimuli/b16.png,"choices/b16_1.png,choices/b16_2.png,choices/b16_3.png,choices/b16_4.png,choices/b16_5.png,choices/b16_6.png",1,0,1,1,1,,,,,,,,,18.170629400000507,None,0.6377080000002024,0,0.1,0.097222224,1,0,0,choice_1,,,,,,,,,1,2025_May_05_1822,ravensMatricesBuilder,2021.2.3,162.1962672160949,
stimuli/b21.png,"choices/b21_1.png,choices/b21_2.png,choices/b21_3.png,choices/b21_4.png,choices/b21_5.png,choices/b21_6.png",3,0,2,2,2,,,,,,,,,18.82835260000047,None,0.3243416999994224,0,0.33333334,0.117592596,1,0,0,choice_2,,,,,,,,,1,2025_May_05_1822,ravensMatricesBuilder,2021.2.3,162.1962672160949,
stimuli/b30.png,"choices/b30_1.png,choices/b30_2.png,choices/b30_3.png,choices/b30_4.png,choices/b30_5.png,choices/b30_6.png,choices/b30_7.png,choices/b30_8.png",3,0,3,3,3,,,,,,,,,19.231246199999987,None,0.6206131000008099,1,0.12314815,-0.062962964,1,0,0,choice_4,,,,,,,,,1,2025_May_05_1822,ravensMatricesBuilder,2021.2.3,162.1962672160949,
stimuli/b34.png,"choices/b34_1.png,choices/b34_2.png,choices/b34_3.png,choices/b34_4.png,choices/b34_5.png,choices/b34_6.png,choices/b34_7.png,choices/b34_8.png",5,0,4,4,4,,,,,,,,,19.8526109000004,None,0.3732462999996642,0,0.19074073,-0.24166666,1,0,0,choice_7,,,,,,,,,1,2025_May_05_1822,ravensMatricesBuilder,2021.2.3,162.1962672160949,
stimuli/b44.png,"choices/b44_1.png,choices/b44_2.png,choices/b44_3.png,choices/b44_4.png,choices/b44_5.png,choices/b44_6.png,choices/b44_7.png,choices/b44_8.png",3,0,5,5,5,,,,,,,,,20.286356700000397,None,0.4918651999996655,0,0.3361111,0.21203704,1,0,0,choice_2,,,,,,,,,1,2025_May_05_1822,ravensMatricesBuilder,2021.2.3,162.1962672160949,
stimuli/b50.png,"choices/b50_1.png,choices/b50_2.png,choices/b50_3.png,choices/b50_4.png,choices/b50_5.png,choices/b50_6.png,choices/b50_7.png,choices/b50_8.png",5,0,6,6,6,,,,,,,,,20.76696510000056,None,0.4486599000001661,1,0.58055556,0.0064814813,1,0,0,choice_6,,,,,,,,,1,2025_May_05_1822,ravensMatricesBuilder,2021.2.3,162.1962672160949,
stimuli/b52.png,"choices/b52_1.png,choices/b52_2.png,choices/b52_3.png,choices/b52_4.png,choices/b52_5.png,choices/b52_6.png,choices/b52_7.png,choices/b52_8.png",1,0,7,7,7,,,,,,,,,21.24261370000022,None,0.5018129999998564,0,0.098148145,0.008333334,1,0,0,choice_4,,,,,,,,,1,2025_May_05_1822,ravensMatricesBuilder,2021.2.3,162.1962672160949,
stimuli/b57.png,"choices/b57_1.png,choices/b57_2.png,choices/b57_3.png,choices/b57_4.png,choices/b57_5.png,choices/b57_6.png,choices/b57_7.png,choices/b57_8.png",0,0,8,8,8,,,,,,,,,21.760322800000722,None,0.5692046000003756,1,0.1287037,0.19629629,1,0,0,choice_1,,,,,,,,,1,2025_May_05_1822,ravensMatricesBuilder,2021.2.3,162.1962672160949,
,,,,,,,,,,,,,,,,,,,,,,,,,22.199108300000262,None,space,2.782316599999831,,,,,1,2025_May_05_1822,ravensMatricesBuilder,2021.2.3,162.1962672160949,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,30.523498141049185,5.797439400000258,,,,,,
